Date,Hour,DateTime,Station1,Station2
1/1/2016,1,1/1/2016 0:00,35,21
1/1/2016,2,1/1/2016 1:00,42,34
1/1/2016,3,1/1/2016 2:00,55,32
1/1/2016,4,1/1/2016 3:00,54,45
1/1/2016,5,1/1/2016 4:00,50,53
1/1/2016,6,1/1/2016 5:00,47,51
1/1/2016,7,1/1/2016 6:00,47,58
1/1/2016,8,1/1/2016 7:00,46,56
1/1/2016,9,1/1/2016 8:00,40,50
1/1/2016,10,1/1/2016 9:00,31,47
1/1/2016,11,1/1/2016 10:00,27,33
1/1/2016,12,1/1/2016 11:00,20,24
1/1/2016,13,1/1/2016 12:00,14,21
1/1/2016,14,1/1/2016 13:00,15,33
1/1/2016,15,1/1/2016 14:00,16,29
1/1/2016,16,1/1/2016 15:00,23,33
1/1/2016,17,1/1/2016 16:00,23,40
1/1/2016,18,1/1/2016 17:00,22,32
1/1/2016,19,1/1/2016 18:00,17,26
1/1/2016,20,1/1/2016 19:00,15,23
1/1/2016,21,1/1/2016 20:00,19,28
1/1/2016,22,1/1/2016 21:00,15,23
1/1/2016,23,1/1/2016 22:00,13,23
1/1/2016,24,1/1/2016 23:00,16,21
2/1/2016,1,1/2/2016 0:00,14,21
2/1/2016,2,1/2/2016 1:00,13,18
2/1/2016,3,1/2/2016 2:00,11,17
2/1/2016,4,1/2/2016 3:00,15,14
2/1/2016,5,1/2/2016 4:00,23,18
2/1/2016,6,1/2/2016 5:00,25,20
2/1/2016,7,1/2/2016 6:00,27,21
2/1/2016,8,1/2/2016 7:00,23,14
2/1/2016,9,1/2/2016 8:00,24,15
2/1/2016,10,1/2/2016 9:00,21,13
2/1/2016,11,1/2/2016 10:00,16,12
2/1/2016,12,1/2/2016 11:00,15,13
2/1/2016,13,1/2/2016 12:00,14,13
2/1/2016,14,1/2/2016 13:00,14,15
2/1/2016,15,1/2/2016 14:00,15,17
2/1/2016,16,1/2/2016 15:00,19,18
2/1/2016,17,1/2/2016 16:00,19,24
2/1/2016,18,1/2/2016 17:00,26,22
2/1/2016,19,1/2/2016 18:00,30,22
2/1/2016,20,1/2/2016 19:00,23,16
2/1/2016,21,1/2/2016 20:00,15,12
2/1/2016,22,1/2/2016 21:00,12,9
2/1/2016,23,1/2/2016 22:00,12,8
2/1/2016,24,1/2/2016 23:00,11,7
3/1/2016,1,1/3/2016 0:00,11,6
3/1/2016,2,1/3/2016 1:00,11,6
3/1/2016,3,1/3/2016 2:00,10,7
